298.9,0.6,0,0.01
298.6,0.6,2.44,0.01
298.5,0.6,2.61,0.01
298.5,0.6,4.47,0.02
298.6,0.6,4.49,0.02
323.5,0.7,0,0.01
323.4,0.7,2.51,0.01
323.4,0.7,3.92,0.02
323.4,0.7,4.97,0.02
347.8,0.7,0,0.01
347.6,0.7,2.52,0.02
347.6,0.7,3.58,0.02
347.6,0.7,4.76,0.02
374,0.8,0,0.01
374,0.8,2.21,0.02
374.1,0.8,2.53,0.02
374,0.8,4.61,0.02
398.7,0.8,0,0.02
398.7,0.8,1.43,0.02
398.8,0.8,2.54,0.02
398.9,0.8,3.75,0.02
398.7,0.8,4.34,0.02
424,0.9,0,0.02
424.1,0.9,0.75,0.02
424,0.9,1.25,0.02
424.2,0.9,2.12,0.02
424.1,0.9,2.25,0.02
424.3,0.9,2.42,0.02
424.2,0.9,3.93,0.03
424.3,0.9,4.07,0.03
